Title,Publication Nr.,INPADOC Family ID,Applicant,Patent Office,Inventor,Publication Date,Kind Type,Granted,Lapsed,Patent Citation,Family Size,Market Coverage (MC),Technical Relevance (TR)
SIGNAL INDICATION FOR FLEXIBLE NEW RADIO (NR) LONG TERM EVOLUTION (LTE) COEXISTENCE | INDICATION DE SIGNAL POUR COEXISTENCE SOUPLE NOUVELLE RADIO (NR) / ÉVOLUTION À LONG TERME (LTE),WO2018127074A1,20180705US20180192404A1,"Huawei Technologies Co., Ltd.",WO,"MAAREF, Amine | AU, Kelvin Kar Kin | MA, Jianglei",2018-07-12,Patent Application,false,false,,2,1.0648804,0
"METHOD, DEVICE AND SYSTEM FOR REGRESSING TO LONG TERM EVOLUTION (LTE) NETWORK | PROCÉDÉ, DISPOSITIF ET SYSTÈME DE RÉGRESSION À UN RÉSEAU D'ÉVOLUTION À LONG TERME (LTE)",WO2014067166A1,20140508WO2014067166A1,"Huawei Technologies Co., Ltd.",WO,"SHU, Lin | WU, Xiaobo",2014-05-08,Patent Application,false,false,,2,1.3537302,0
METHOD AND APPARATUS FOR COMMUNICATING ISM PRONE FREQUENCY INFORMATION TO A BASE STATION | PROCÉDÉ ET APPAREIL PERMETTANT DE COMMUNIQUER À UNE STATION DE BASE DES INFORMATIONS SUR LES FRÉQUENCES POUVANT SERVIR À L'ISM,WO2012093901A2,20120712WO2012093901A2,Samsung Electronics Co. Ltd.,WO,"BAGHEL, Sudhir Kumar | MANEPALLI, Venkateswara Rao",2012-07-12,Patent Application,false,false,WO2018127074A1 | WO2014067166A1,8,1.6744334,2.3980706
METHOD AND APPARATUS OF HANDLING IN-DEVICE CO-EXISTENCE INTERFERENCE IN A MULTI-RADIO ENVIRONMENT | PROCÉDÉ ET APPAREIL DE GESTION DU BROUILLAGE DÛ À LA COEXISTENCE INTERNE À UN DISPOSITIF DANS UN ENVIRONNEMENT MULTI-RADIO,WO2012064093A2,20120518WO2012064093A2,Samsung Electronics Co. Ltd.,WO,"GANAPATHI, Sarvesha Anegundi | JAMADAGNI, Satish Nanjunda Swamy",2012-05-18,Patent Application,false,false,,7,1.6262618,3.5756855
Methods and apparatus for performing handover between a long term evolution (LTE) network and another type of radio access network,US8199719B2,20090917US20090232097A1,Apple Inc.,US,"Taneja, Mukesh",2012-06-12,Granted Patent,true,false,WO2014067166A1,2,0.7245761,2.1972957
Signaling Indication for Flexible New Radio (NR) Long Term Evolution (LTE) Coexistence,US20180192404A1,20180705US20180192404A1,"Huawei Technologies Co., Ltd.",US,"Maaref, Amine | Au, Kelvin Kar Kin | Ma, Jianglei",2018-07-05,Patent Application,false,false,,2,1.0648804,0
Device and Method of Aggregating LTE System and WLAN,US20160366720A1,20161214EP3104640A1,HTC Corporation,US,"Wu, Chih-Hsiang",2016-12-15,Patent Application,false,false,,4,1.377883,2.5850832
METHOD AND APPARATUS FOR COMMUNICATING ISM PRONE FREQUENCY INFORMATION TO A BASE STATION,US20130281096A1,20120712WO2012093901A2,Samsung Electronics Co. Ltd.,US,"Baghel, Sudhir Kumar | Manepalli, Venkateswara Rao",2013-10-24,Patent Application,false,false,,8,1.681695,0.32255477
METHOD AND APPARATUS OF HANDLING IN-DEVICE CO-EXISTENCE INTERFERENCE IN A MULTI-RADIO ENVIRONMENT,US20130231148A1,20120518WO2012064093A2,Samsung Electronics Co. Ltd.,US,"Ganapathi, Sarvesha Anegundi | Jamadagni, Satish Nanjunda Swamy",2013-09-05,Patent Application,false,false,,7,1.6333164,0
METHOD AND APPARATUS FOR PERFORMING HANDOVER IN A WIRELESS COMMUNICATION SYSTEM,US20090232097A1,20090917US20090232097A1,"Freescale Semiconductor, Inc.",US,"TANEJA, Mukesh",2009-09-17,Patent Application,false,false,WO2012093901A2 | WO2012064093A2 | US8199719B2,2,0.73078793,2.9895818
Device and method of aggregating LTE System and WLAN,US10154523B2,20161214EP3104640A1,HTC Corporation,US,"Wu, Chih-Hsiang",2018-12-11,Granted Patent,true,false,,4,1.498943,0
METHOD AND APPARATUS FOR COMMUNICATING ISM PRONE FREQUENCY INFORMATION TO A BASE STATION | METHOD AND APPARATUS FOR TRANSMITTING FREQUENCY INFORMATION WHICH CAN BE USED IN ISM TO A BASE STATION | A method and apparatus for delivering the frequency information which is used for ISM to the base station.,KR2014009289A,20120712WO2012093901A2,Samsung Electronics Co. Ltd.,KR,BAGHEL SUDHIR KUMAR | MANEPALLI VENKATESWARA RAO,2014-01-22,Patent Application,false,false,,8,1.674686,0
"METHOD AND APPARATUS FOR HANDLING IN-DEVICE CO-EXISTENCE INTERFERENCE IN A MULTI-RADIO ENVIRONMENT | METHOD AND APPARATUS FOR PROCESSING IN-DEVICE COEXISTENCE INTERFERENCE IN MULTI-RADIO ENVIRONMENT | A method and apparatus for in the multi radio environment, the co-located interference is processed within the instrument.",KR2013129383A,20120518WO2012064093A2,Samsung Electronics Co. Ltd.,KR,GANAPATHI SARVESHA ANEGUNDI | JAMADAGNI SATISH NANJUNDA SWAMY,2013-11-28,Patent Application,false,false,,7,1.6333164,0
ISM METHOD AND APPARATUS FOR COMMUNICATING ISM PRONE FREQUENCY INFORMATION TO A BASE STATION | ISM에 사용될 수 있는 주파수 정보를 기지국에 전달하는 방법 및 장치 | METHOD AND APPARATUS FOR COMMUNICATING ISM PRONE FREQUENCY INFORMATION TO A BASE STATION,KR1871014B1,20120712WO2012093901A2,Samsung Electronics Co. Ltd.,KR,BAGHEL SUDHIR KUMAR | MANEPALLI VENKATESWARA RAO,2018-06-25,Granted Patent,true,false,,8,1.8539863,0
METHOD AND APPARATUS FOR HANDLING IN-DEVICE CO-EXISTENCE INTERFERENCE IN A MULTI-RADIO ENVIRONMENT | 멀티 라디오 환경에서 기기내 공존 간섭을 처리하는 방법 및 장치,KR1857531B1,20120518WO2012064093A2,Samsung Electronics Co. Ltd.,KR,GANAPATHI SARVESHA ANEGUNDI | JAMADAGNI SATISH NANJUNDA SWAMY,2018-06-27,Granted Patent,true,false,,7,1.8007033,0
ＩＳＭ向けの周波数情報を基地局に伝送する方法及び装置,JP05921573B2,20120712WO2012093901A2,Samsung Electronics Co. Ltd.,JP,,2016-05-24,Granted Patent,true,false,,8,1.704515,0
マルチラジオ環境における機器内共存干渉を処理する方法及び装置,JP05859014B2,20120518WO2012064093A2,Samsung Electronics Co. Ltd.,JP,,2016-02-10,Granted Patent,true,false,,7,1.655486,0
DEVICE FOR AGGREGATING LTE SYSTEM AND WLAN,EP3104640B1,20150610US201562173910P_,HTC Corporation,EP,"WU, CHIH-HSIANG",2019-05-15,Granted Patent,true,false,,1,0.43622836,0
DEVICE AND METHOD OF AGGREGATING LTE SYSTEM AND WLAN | VORRICHTUNG UND VERFAHREN ZUR AGGREGATION EINES LTE-SYSTEMS UND EINES WLANS | DISPOSITIF ET PROCÉDÉ D'AGRÉGATION DE SYSTÈME LTE ET WLAN,EP3104640A1,20161214EP3104640A1,HTC Corporation,EP,"WU, Chih-Hsiang",2016-12-14,Patent Application,false,false,,4,1.377883,18.585089
METHOD AND APPARATUS FOR COMMUNICATING ISM PRONE FREQUENCY INFORMATION TO A BASE STATION | VERFAHREN UND VORRICHTUNG ZUR ÜBERMITTLUNG VON ISM-PRONE-FREQUENZINFORMATIONEN AN EINE BASISSTATION | PROCÉDÉ ET APPAREIL PERMETTANT DE COMMUNIQUER À UNE STATION DE BASE DES INFORMATIONS SUR LES FRÉQUENCES POUVANT SERVIR À L'ISM,EP2661922A2,20120712WO2012093901A2,Samsung Electronics Co. Ltd.,EP,"BAGHEL, Sudhir Kumar | MANEPALLI, Venkateswara Rao",2013-11-13,Patent Application,false,false,,8,1.681695,0
