Title,Standard Document Id,Technology Generation,Publication Date,Standard Setting Organization,Author,Standard Project,Version History,Original Document
LTE; General Packet Radio Service (GPRS) enhancements for Evolved Universal Terrestrial Radio Access Network (E-UTRAN) access (3GPP TS 23.401 version 8.18.0 Release 8) General Packet Radio Service (GPRS) enhancements for Evolved Universal Terrestrial Radio Access Netw,TS 23.401 v8.18.0,4G,2013-04-05,ETSI,Maurice Pope | Chris Pudney,3GPP 3GPP-Release-8 3GPP-SA,8.18.0,https://www.etsi.org/deliver/etsi_ts/123400_123499/123401/08.18.00_60/ts_123401v081800p.pdf
Digital cellular telecommunications system (Phase 2+) (GSM); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 15.0.0 Release 15) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v15.0.0,"4G, 3G, 2G",2018-07-26,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-15 3GPP-SA,15.0.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/15.00.00_60/ts_123272v150000p.pdf
Digital cellular telecommunications system (Phase 2+) (GSM); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 14.2.0 Release 14) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v14.2.0,"4G, 3G, 2G",2018-01-08,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-14 3GPP-SA,14.2.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/14.02.00_60/ts_123272v140200p.pdf
Digital cellular telecommunications system (Phase 2+) (GSM); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 14.1.0 Release 14) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v14.1.0,"4G, 3G, 2G",2017-10-27,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-14 3GPP-SA,14.1.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/14.01.00_60/ts_123272v140100p.pdf
Digital cellular telecommunications system (Phase 2+) (GSM); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 14.0.0 Release 14) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v14.0.0,"4G, 3G, 2G",2017-05-12,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-14 3GPP-SA,14.0.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/14.00.00_60/ts_123272v140000p.pdf
Digital cellular telecommunications system (Phase 2+) (GSM); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 13.6.0 Release 13) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v13.6.0,"4G, 3G, 2G",2018-01-08,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-13 3GPP-SA,13.6.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/13.06.00_60/ts_123272v130600p.pdf
Digital cellular telecommunications system (Phase 2+) (GSM); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 13.5.0 Release 13) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v13.5.0,"4G, 3G, 2G",2017-10-27,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-13 3GPP-SA,13.5.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/13.05.00_60/ts_123272v130500p.pdf
Digital cellular telecommunications system (Phase 2+) (GSM); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 13.4.0 Release 13) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v13.4.0,"4G, 3G, 2G",2016-07-28,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-Release-13 3GPP-SA,13.4.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/13.04.00_60/ts_123272v130400p.pdf
Digital cellular telecommunications system (Phase 2+) (GSM); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 13.2.0 Release 13) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v13.2.0,"4G, 3G, 2G",2016-03-09,ETSI,Maurice Pope | Sabine Demel,3GPP 3GPP-EUTRAN 3GPP-Release-13 3GPP-SA GSM MCC_3G_reporting,13.2.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/13.02.00_60/ts_123272v130200p.pdf
Digital cellular telecommunications system (Phase 2+); Universal Mobile Telecommunications System (UMTS); LTE; Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2 (3GPP TS 23.272 version 12.6.0 Release 12) Circuit Switched (CS) fallback in Evolved Packet System (EPS); Stage 2,TS 23.272 v12.6.0,"4G, 3G, 2G",2015-07-17,ETSI,Maurice Pope | Sabine Demel,,12.6.0,https://www.etsi.org/deliver/etsi_ts/123200_123299/123272/12.06.00_60/ts_123272v120600p.pdf
